"","Nationality","Total_championships"
"1","United Kingdom",20
"2","Germany",12
"3","Brazil",8
"4","Argentina",5
"5","Australia",4
"6","Austria",4
"7","Finland",4
"8","France",4
"9","Netherlands",4
"10","Italy",3
"11","Spain",2
"12","United States",2
"13","Canada",1
"14","New Zealand",1
"15","South Africa",1
"16","Argentina[50]",0
"17","Belgium",0
"18","Belgium France",0
"19","Chile",0
"20","China",0
"21","Colombia",0
"22","Czech Republic",0
"23","Denmark",0
"24","East Germany",0
"25","East Germany, West Germany[f]",0
"26","Hungary",0
"27","India",0
"28","Indonesia",0
"29","Ireland",0
"30","Japan",0
"31","Liechtenstein",0
"32","Malaysia",0
"33","Mexico",0
"34","Monaco",0
"35","Monaco Netherlands",0
"36","Morocco[43]",0
"37","Poland",0
"38","Portugal",0
"39","RAF[z]",0
"40","Rhodesia",0
"41","Rhodesia and Nyasaland",0
"42","Russia",0
"43","Sweden",0
"44","Switzerland",0
"45","Thailand",0
"46","Uruguay",0
"47","Venezuela",0
"48","West Germany",0
